Channel with too many inputs/outputs :
 In workflow :3; Channel :65 too many inputs/outputs :{'workflow': 3, 'process': [64], 'operation': [5, 13]}
 In workflow :20; Channel :504 too many inputs/outputs :{'workflow': 20, 'process': ['output'], 'operation': ['output']}
 In workflow :20; Channel :530 too many inputs/outputs :{'workflow': 20, 'process': [529, 531], 'operation': [55]}
 In workflow :20; Channel :524 too many inputs/outputs :{'workflow': 20, 'process': [523, 531], 'operation': [56]}
 In workflow :20; Channel :503 too many inputs/outputs :{'workflow': 20, 'process': [499], 'operation': [53, 59]}
 In workflow :22; Channel :561 too many inputs/outputs :{'workflow': 22, 'process': [559, 568, 580, 588, 590, 592, 600], 'operation': []}
 In workflow :130; Channel :5611 too many inputs/outputs :{'workflow': 130, 'process': [5609], 'operation': [736, 737]}
 In workflow :130; Channel :5618 too many inputs/outputs :{'workflow': 130, 'operation': ['input', 'input']}
 In workflow :130; Channel :5607 too many inputs/outputs :{'workflow': 130, 'process': [5606], 'operation': [738, 739, 740]}
 In workflow :130; Channel :5619 too many inputs/outputs :{'workflow': 130, 'process': [], 'operation': [738, 739, 740]}
 In workflow :22; Channel :636 too many inputs/outputs :{'workflow': 22, 'process': [634], 'operation': [66, 67]}
 In workflow :23; Channel :694 too many inputs/outputs :{'workflow': 23, 'process': [], 'operation': [103, 104, 105]}
 In workflow :23; Channel :684 too many inputs/outputs :{'workflow': 23, 'process': [682, 685], 'operation': [105]}
 In workflow :25; Channel :727 too many inputs/outputs :{'workflow': 25, 'process': [726], 'operation': [109, 110]}
 In workflow :25; Channel :706 too many inputs/outputs :{'workflow': 25, 'process': [705], 'operation': [109, 110]}
 In workflow :25; Channel :708 too many inputs/outputs :{'workflow': 25, 'process': [705, 746], 'operation': [111]}
 In workflow :25; Channel :749 too many inputs/outputs :{'workflow': 25, 'process': [746], 'operation': [116, 117]}
 In workflow :25; Channel :720 too many inputs/outputs :{'workflow': 25, 'process': [718, 721], 'operation': [118]}
 In workflow :25; Channel :730 too many inputs/outputs :{'workflow': 25, 'process': [729], 'operation': [120, 122]}
 In workflow :25; Channel :750 too many inputs/outputs :{'workflow': 25, 'process': [746], 'operation': [121, 123]}
 In workflow :25; Channel :740 too many inputs/outputs :{'workflow': 25, 'process': [739], 'operation': [119, 125]}
 In workflow :25; Channel :734 too many inputs/outputs :{'workflow': 25, 'process': [733], 'operation': [119, 124]}
 In workflow :25; Channel :748 too many inputs/outputs :{'workflow': 25, 'process': ['input'], 'operation': ['input']}
 In workflow :25; Channel :752 too many inputs/outputs :{'workflow': 25, 'process': [], 'operation': [109, 110, 130]}
 In workflow :25; Channel :707 too many inputs/outputs :{'workflow': 25, 'process': [705, 709], 'operation': [130]}
 In workflow :28; Channel :813 too many inputs/outputs :{'workflow': 28, 'process': [810, 814, 817, 818], 'operation': []}
 In workflow :28; Channel :778 too many inputs/outputs :{'workflow': 28, 'process': [776], 'operation': [136, 138]}
 In workflow :28; Channel :834 too many inputs/outputs :{'workflow': 28, 'operation': ['input', 'input']}
 In workflow :28; Channel :779 too many inputs/outputs :{'workflow': 28, 'process': [776], 'operation': [137, 139]}
 In workflow :28; Channel :786 too many inputs/outputs :{'workflow': 28, 'process': [785], 'operation': [140, 141]}
 In workflow :28; Channel :795 too many inputs/outputs :{'workflow': 28, 'process': [793], 'operation': [144, 145]}
 In workflow :28; Channel :835 too many inputs/outputs :{'workflow': 28, 'operation': ['input', 'input']}
 In workflow :28; Channel :836 too many inputs/outputs :{'workflow': 28, 'operation': ['input', 'input']}
 In workflow :28; Channel :802 too many inputs/outputs :{'workflow': 28, 'process': [801], 'operation': [146, 147]}
 In workflow :28; Channel :789 too many inputs/outputs :{'workflow': 28, 'process': [788], 'operation': [148, 149]}
 In workflow :28; Channel :798 too many inputs/outputs :{'workflow': 28, 'process': [797], 'operation': [148, 149]}
 In workflow :28; Channel :805 too many inputs/outputs :{'workflow': 28, 'process': [804, 817], 'operation': [150]}
 In workflow :28; Channel :796 too many inputs/outputs :{'workflow': 28, 'process': [793, 817], 'operation': [151, 152]}
 In workflow :28; Channel :808 too many inputs/outputs :{'workflow': 28, 'process': [807], 'operation': [151, 152]}
 In workflow :28; Channel :816 too many inputs/outputs :{'workflow': 28, 'process': [814, 818], 'operation': [154]}
 In workflow :30; Channel :887 too many inputs/outputs :{'workflow': 30, 'process': [884, 951, 956, 959, 982, 997, 999, 1003, 1006, 1008, 1013], 'operation': []}
 In workflow :30; Channel :889 too many inputs/outputs :{'workflow': 30, 'process': [888, 896, 900, 919, 951, 962, 970, 987, 993, 999, 1003, 1006, 1013], 'operation': []}
 In workflow :30; Channel :890 too many inputs/outputs :{'workflow': 30, 'process': [888, 942, 993], 'operation': []}
 In workflow :30; Channel :892 too many inputs/outputs :{'workflow': 30, 'process': [891, 894, 896, 898, 900, 966, 974, 987, 993, 1006, 1013], 'operation': []}
 In workflow :30; Channel :893 too many inputs/outputs :{'workflow': 30, 'process': [891, 974, 993], 'operation': []}
 In workflow :30; Channel :952 too many inputs/outputs :{'workflow': 30, 'process': [951, 956, 959, 999], 'operation': []}
 In workflow :30; Channel :1017 too many inputs/outputs :{'workflow': 30, 'operation': ['input', 'input']}
 In workflow :30; Channel :1020 too many inputs/outputs :{'workflow': 30, 'process': [], 'operation': [159, 160, 161]}
 In workflow :133; Channel :5667 too many inputs/outputs :{'workflow': 133, 'process': ['input', 'input']}
 In workflow :30; Channel :895 too many inputs/outputs :{'workflow': 30, 'process': [894, 919], 'operation': [162]}
 In workflow :30; Channel :897 too many inputs/outputs :{'workflow': 30, 'process': [896, 922], 'operation': [163]}
 In workflow :30; Channel :899 too many inputs/outputs :{'workflow': 30, 'process': [898, 925], 'operation': [164]}
 In workflow :30; Channel :901 too many inputs/outputs :{'workflow': 30, 'process': [900, 928], 'operation': [165]}
 In workflow :30; Channel :985 too many inputs/outputs :{'workflow': 30, 'process': [982, 1006, 1013], 'operation': [169]}
 In workflow :30; Channel :986 too many inputs/outputs :{'workflow': 30, 'process': [982, 999, 1003, 1006, 1013], 'operation': [169]}
 In workflow :30; Channel :1026 too many inputs/outputs :{'workflow': 30, 'process': [], 'operation': [166, 167, 168, 169, 170]}
 In workflow :30; Channel :1019 too many inputs/outputs :{'workflow': 30, 'process': [], 'operation': [156, 157, 158, 171]}
 In workflow :30; Channel :906 too many inputs/outputs :{'workflow': 30, 'process': [905], 'operation': [159, 160, 161, 172]}
 In workflow :30; Channel :1021 too many inputs/outputs :{'workflow': 30, 'process': [], 'operation': [159, 160, 161, 166, 173]}
 In workflow :30; Channel :908 too many inputs/outputs :{'workflow': 30, 'process': [905], 'operation': [175, 176]}
 In workflow :30; Channel :914 too many inputs/outputs :{'workflow': 30, 'process': [912, 919], 'operation': [176]}
 In workflow :30; Channel :915 too many inputs/outputs :{'workflow': 30, 'process': [912, 922], 'operation': [176]}
 In workflow :30; Channel :916 too many inputs/outputs :{'workflow': 30, 'process': [912, 925], 'operation': [176]}
 In workflow :133; Channel :5653 too many inputs/outputs :{'workflow': 133, 'process': [5652, 5675], 'operation': [746]}
 In workflow :133; Channel :5654 too many inputs/outputs :{'workflow': 133, 'process': [5652], 'operation': [747, 748]}
 In workflow :30; Channel :917 too many inputs/outputs :{'workflow': 30, 'process': [912, 928], 'operation': [176]}
 In workflow :134; Channel :5685 too many inputs/outputs :{'workflow': 134, 'process': ['input', 'input']}
 In workflow :31; Channel :1058 too many inputs/outputs :{'workflow': 31, 'process': [], 'operation': [180, 182, 183, 185, 188, 189]}
 In workflow :33; Channel :1098 too many inputs/outputs :{'workflow': 33, 'process': [1097, 1099, 1118, 1121], 'operation': []}
 In workflow :33; Channel :1113 too many inputs/outputs :{'workflow': 33, 'process': [1112, 1114, 1116], 'operation': []}
 In workflow :36; Channel :1259 too many inputs/outputs :{'workflow': 36, 'process': ['input', 'input']}
 In workflow :36; Channel :1272 too many inputs/outputs :{'workflow': 36, 'process': [1271], 'operation': [194, 196]}
 In workflow :135; Channel :5709 too many inputs/outputs :{'workflow': 135, 'process': [5707, 5719, 5722], 'operation': []}
 In workflow :36; Channel :1296 too many inputs/outputs :{'workflow': 36, 'process': ['output'], 'operation': ['output']}
 In workflow :36; Channel :1309 too many inputs/outputs :{'workflow': 36, 'operation': ['output', 'output']}
 In workflow :36; Channel :1225 too many inputs/outputs :{'workflow': 36, 'process': [1221, 1228, 1235], 'operation': [213]}
 In workflow :36; Channel :1313 too many inputs/outputs :{'workflow': 36, 'process': [], 'operation': [202, 203, 214]}
 In workflow :36; Channel :1312 too many inputs/outputs :{'workflow': 36, 'process': [], 'operation': [200, 201, 213, 214, 215]}
 In workflow :135; Channel :5715 too many inputs/outputs :{'workflow': 135, 'process': [5712, 5724, 5735], 'operation': []}
 In workflow :36; Channel :1232 too many inputs/outputs :{'workflow': 36, 'process': [1230, 1233], 'operation': [213, 215]}
 In workflow :36; Channel :1319 too many inputs/outputs :{'workflow': 36, 'process': [], 'operation': [213, 215, 217, 218]}
 In workflow :36; Channel :1223 too many inputs/outputs :{'workflow': 36, 'process': [1221, 1228], 'operation': [213, 218]}
 In workflow :36; Channel :1224 too many inputs/outputs :{'workflow': 36, 'process': [1221, 1228], 'operation': [213, 219]}
 In workflow :36; Channel :1320 too many inputs/outputs :{'workflow': 36, 'process': [], 'operation': [213, 215, 217, 219]}
 In workflow :36; Channel :1308 too many inputs/outputs :{'workflow': 36, 'process': [], 'operation': [193, 197, 220]}
 In workflow :36; Channel :1278 too many inputs/outputs :{'workflow': 36, 'process': ['output'], 'operation': ['output']}
 In workflow :36; Channel :1252 too many inputs/outputs :{'workflow': 36, 'process': [1250], 'operation': [224, 225]}
 In workflow :36; Channel :1277 too many inputs/outputs :{'workflow': 36, 'process': [1274], 'operation': [224, 226]}
 In workflow :36; Channel :1276 too many inputs/outputs :{'workflow': 36, 'process': [1274], 'operation': [224, 227]}
 In workflow :36; Channel :1297 too many inputs/outputs :{'workflow': 36, 'process': [1287], 'operation': [209, 229]}
 In workflow :36; Channel :1295 too many inputs/outputs :{'workflow': 36, 'process': [1287], 'operation': [210, 231]}
 In workflow :135; Channel :5708 too many inputs/outputs :{'workflow': 135, 'process': [5707, 5710, 5719, 5722, 5728, 5738, 5750, 5765], 'operation': [751]}
 In workflow :135; Channel :5704 too many inputs/outputs :{'workflow': 135, 'process': [5702], 'operation': [756, 757]}
 In workflow :38; Channel :1537 too many inputs/outputs :{'workflow': 38, 'process': ['output'], 'operation': ['output']}
 In workflow :38; Channel :1535 too many inputs/outputs :{'workflow': 38, 'process': ['output'], 'operation': ['output']}
 In workflow :38; Channel :1514 too many inputs/outputs :{'workflow': 38, 'process': [1510, 1538], 'operation': [240]}
 In workflow :41; Channel :1574 too many inputs/outputs :{'workflow': 41, 'operation': ['input', 'input']}
 In workflow :135; Channel :5736 too many inputs/outputs :{'workflow': 135, 'process': [5735], 'operation': [759, 761]}
 In workflow :41; Channel :1564 too many inputs/outputs :{'workflow': 41, 'process': [1563], 'operation': [247, 248, 249]}
 In workflow :41; Channel :1575 too many inputs/outputs :{'workflow': 41, 'process': [], 'operation': [247, 248, 249]}
 In workflow :41; Channel :1568 too many inputs/outputs :{'workflow': 41, 'process': ['input'], 'operation': ['input']}
 In workflow :43; Channel :1633 too many inputs/outputs :{'workflow': 43, 'process': [1628, 1634, 1636, 1644], 'operation': []}
 In workflow :143; Channel :6389 too many inputs/outputs :{'workflow': 143, 'process': [6387], 'operation': [780, 781]}
 In workflow :143; Channel :6437 too many inputs/outputs :{'workflow': 143, 'operation': ['output', 'output']}
 In workflow :143; Channel :6438 too many inputs/outputs :{'workflow': 143, 'operation': ['output', 'output']}
 In workflow :143; Channel :6396 too many inputs/outputs :{'workflow': 143, 'process': [6394, 6402, 6412, 6415, 6421, 6426, 6429], 'operation': [785, 798]}
 In workflow :50; Channel :2309 too many inputs/outputs :{'workflow': 50, 'operation': ['input', 'input']}
 In workflow :136; Channel :5780 too many inputs/outputs :{'workflow': 136, 'process': [5778, 5782, 5800, 5808], 'operation': []}
 In workflow :50; Channel :2250 too many inputs/outputs :{'workflow': 50, 'process': [2249, 2255], 'operation': [300, 304]}
 In workflow :136; Channel :5802 too many inputs/outputs :{'workflow': 136, 'process': ['output', 'output']}
 In workflow :136; Channel :5822 too many inputs/outputs :{'workflow': 136, 'process': ['input', 'input']}
 In workflow :136; Channel :5824 too many inputs/outputs :{'workflow': 136, 'process': ['input', 'input']}
 In workflow :55; Channel :2480 too many inputs/outputs :{'workflow': 55, 'process': [2479], 'operation': [357, 359]}
 In workflow :55; Channel :2483 too many inputs/outputs :{'workflow': 55, 'process': [2482], 'operation': [358, 359]}
 In workflow :56; Channel :2492 too many inputs/outputs :{'workflow': 56, 'process': ['output', 'output']}
 In workflow :56; Channel :2493 too many inputs/outputs :{'workflow': 56, 'process': [2489, 2498, 2500], 'operation': []}
 In workflow :56; Channel :2494 too many inputs/outputs :{'workflow': 56, 'process': ['output', 'output']}
 In workflow :56; Channel :2495 too many inputs/outputs :{'workflow': 56, 'process': ['output', 'output']}
 In workflow :56; Channel :2496 too many inputs/outputs :{'workflow': 56, 'process': ['output', 'output']}
 In workflow :56; Channel :2497 too many inputs/outputs :{'workflow': 56, 'process': ['output', 'output']}
 In workflow :56; Channel :2522 too many inputs/outputs :{'workflow': 56, 'operation': ['input', 'input']}
 In workflow :60; Channel :2704 too many inputs/outputs :{'workflow': 60, 'process': [2701, 2705, 2710], 'operation': []}
 In workflow :60; Channel :2702 too many inputs/outputs :{'workflow': 60, 'process': [2701, 2705], 'operation': [376]}
 In workflow :136; Channel :5831 too many inputs/outputs :{'workflow': 136, 'operation': ['input', 'input']}
 In workflow :63; Channel :2773 too many inputs/outputs :{'workflow': 63, 'operation': ['input', 'input']}
 In workflow :63; Channel :2765 too many inputs/outputs :{'workflow': 63, 'process': [2759, 2766], 'operation': [382]}
 In workflow :66; Channel :2862 too many inputs/outputs :{'workflow': 66, 'process': [2859, 2863, 2864], 'operation': []}
 In workflow :66; Channel :2857 too many inputs/outputs :{'workflow': 66, 'process': [2856], 'operation': [385, 386]}
 In workflow :66; Channel :2871 too many inputs/outputs :{'workflow': 66, 'operation': ['input', 'input']}
 In workflow :66; Channel :2860 too many inputs/outputs :{'workflow': 66, 'process': [2859, 2863], 'operation': [391]}
 In workflow :136; Channel :5784 too many inputs/outputs :{'workflow': 136, 'process': [5782], 'operation': [770, 774, 775]}
 In workflow :78; Channel :3265 too many inputs/outputs :{'workflow': 78, 'process': [3264, 3269, 3308, 3311, 3331], 'operation': []}
 In workflow :78; Channel :3266 too many inputs/outputs :{'workflow': 78, 'process': [3264, 3306, 3331], 'operation': []}
 In workflow :136; Channel :5820 too many inputs/outputs :{'workflow': 136, 'process': [5818, 5821, 5828], 'operation': [776]}
 In workflow :78; Channel :3286 too many inputs/outputs :{'workflow': 78, 'process': ['input', 'input']}
 In workflow :78; Channel :3357 too many inputs/outputs :{'workflow': 78, 'process': [3353, 3360, 3371], 'operation': []}
 In workflow :78; Channel :3358 too many inputs/outputs :{'workflow': 78, 'process': [3353, 3360, 3373], 'operation': []}
 In workflow :78; Channel :3384 too many inputs/outputs :{'workflow': 78, 'operation': ['input', 'input']}
 In workflow :78; Channel :3386 too many inputs/outputs :{'workflow': 78, 'operation': ['input', 'input']}
 In workflow :78; Channel :3272 too many inputs/outputs :{'workflow': 78, 'process': [3271], 'operation': [419, 420, 421]}
 In workflow :78; Channel :3366 too many inputs/outputs :{'workflow': 78, 'process': [3364, 3368], 'operation': [422]}
 In workflow :78; Channel :3277 too many inputs/outputs :{'workflow': 78, 'process': [3275, 3290], 'operation': [423]}
 In workflow :78; Channel :3278 too many inputs/outputs :{'workflow': 78, 'process': [3275, 3316], 'operation': [424]}
 In workflow :78; Channel :3279 too many inputs/outputs :{'workflow': 78, 'process': [3275, 3285], 'operation': [425]}
 In workflow :78; Channel :3276 too many inputs/outputs :{'workflow': 78, 'process': [3275], 'operation': [419, 420, 421, 423, 424, 425, 426]}
 In workflow :78; Channel :3280 too many inputs/outputs :{'workflow': 78, 'process': [3275, 3289], 'operation': [426]}
 In workflow :81; Channel :3494 too many inputs/outputs :{'workflow': 81, 'process': ['output', 'output']}
 In workflow :143; Channel :6404 too many inputs/outputs :{'workflow': 143, 'process': [6402, 6412, 6429], 'operation': [799]}
 In workflow :143; Channel :6439 too many inputs/outputs :{'workflow': 143, 'operation': ['output', 'output']}
 In workflow :81; Channel :3457 too many inputs/outputs :{'workflow': 81, 'process': [3456, 3485, 3507, 3514, 3516], 'operation': [433]}
 In workflow :81; Channel :3450 too many inputs/outputs :{'workflow': 81, 'process': [3449, 3452, 3454, 3474, 3485, 3495, 3507, 3514, 3516, 3521], 'operation': [434]}
 In workflow :81; Channel :3463 too many inputs/outputs :{'workflow': 81, 'process': [3462, 3485], 'operation': [438]}
 In workflow :81; Channel :3505 too many inputs/outputs :{'workflow': 81, 'process': [3503, 3511, 3518], 'operation': [445]}
 In workflow :81; Channel :3490 too many inputs/outputs :{'workflow': 81, 'process': [3485], 'operation': [456, 464]}
 In workflow :81; Channel :3448 too many inputs/outputs :{'workflow': 81, 'process': [3447, 3530], 'operation': [476]}
 In workflow :81; Channel :3467 too many inputs/outputs :{'workflow': 81, 'process': ['output'], 'operation': ['output']}
 In workflow :81; Channel :3469 too many inputs/outputs :{'workflow': 81, 'process': [3468], 'operation': [457, 478]}
 In workflow :81; Channel :3477 too many inputs/outputs :{'workflow': 81, 'process': [3474], 'operation': [481, 482]}
 In workflow :81; Channel :3480 too many inputs/outputs :{'workflow': 81, 'process': [3479], 'operation': [458, 482]}
 In workflow :81; Channel :3481 too many inputs/outputs :{'workflow': 81, 'process': [3479, 3482], 'operation': [483]}
 In workflow :81; Channel :3483 too many inputs/outputs :{'workflow': 81, 'process': [3482], 'operation': [466, 484]}
 In workflow :81; Channel :3484 too many inputs/outputs :{'workflow': 81, 'process': [3482, 3530], 'operation': [465, 485]}
 In workflow :81; Channel :3491 too many inputs/outputs :{'workflow': 81, 'process': [3485, 3492], 'operation': [487]}
 In workflow :81; Channel :3497 too many inputs/outputs :{'workflow': 81, 'process': [3495, 3498], 'operation': [489]}
 In workflow :81; Channel :3502 too many inputs/outputs :{'workflow': 81, 'process': [3500, 3530], 'operation': [490]}
 In workflow :81; Channel :3506 too many inputs/outputs :{'workflow': 81, 'process': [3503, 3530], 'operation': [491]}
 In workflow :81; Channel :3510 too many inputs/outputs :{'workflow': 81, 'process': [3507, 3514], 'operation': [493]}
 In workflow :81; Channel :3513 too many inputs/outputs :{'workflow': 81, 'process': ['output'], 'operation': ['output']}
 In workflow :81; Channel :3515 too many inputs/outputs :{'workflow': 81, 'process': [3514, 3516], 'operation': [497]}
 In workflow :81; Channel :3476 too many inputs/outputs :{'workflow': 81, 'process': [3474], 'operation': [452, 499]}
 In workflow :81; Channel :3487 too many inputs/outputs :{'workflow': 81, 'process': [3485, 3507, 3514, 3516], 'operation': [453, 500]}
 In workflow :81; Channel :3488 too many inputs/outputs :{'workflow': 81, 'process': [3485, 3495, 3507, 3514, 3516, 3521], 'operation': [454, 501]}
 In workflow :81; Channel :3489 too many inputs/outputs :{'workflow': 81, 'process': [3485, 3495, 3507, 3511, 3514, 3516, 3518, 3521], 'operation': [435, 502]}
 In workflow :81; Channel :3546 too many inputs/outputs :{'workflow': 81, 'operation': ['output', 'output']}
 In workflow :81; Channel :3496 too many inputs/outputs :{'workflow': 81, 'process': [3495], 'operation': [488, 504]}
 In workflow :81; Channel :3536 too many inputs/outputs :{'workflow': 81, 'process': [], 'operation': [428, 459, 479, 504, 505]}
 In workflow :81; Channel :3499 too many inputs/outputs :{'workflow': 81, 'process': [3498], 'operation': [472, 492, 505]}
 In workflow :81; Channel :3509 too many inputs/outputs :{'workflow': 81, 'process': [3507], 'operation': [474, 494, 506]}
 In workflow :81; Channel :3512 too many inputs/outputs :{'workflow': 81, 'process': [3511], 'operation': [495, 506]}
 In workflow :82; Channel :3571 too many inputs/outputs :{'workflow': 82, 'process': ['output', 'output']}
 In workflow :82; Channel :3572 too many inputs/outputs :{'workflow': 82, 'process': [3569, 3577, 3579], 'operation': []}
 In workflow :82; Channel :3573 too many inputs/outputs :{'workflow': 82, 'process': ['output', 'output']}
 In workflow :82; Channel :3574 too many inputs/outputs :{'workflow': 82, 'process': ['output', 'output']}
 In workflow :82; Channel :3576 too many inputs/outputs :{'workflow': 82, 'process': ['output', 'output']}
 In workflow :82; Channel :3599 too many inputs/outputs :{'workflow': 82, 'operation': ['input', 'input']}
 In workflow :82; Channel :3575 too many inputs/outputs :{'workflow': 82, 'process': [3569, 3577], 'operation': [517]}
 In workflow :86; Channel :4039 too many inputs/outputs :{'workflow': 86, 'process': [4038, 4045, 4045, 4048, 4050, 4050, 4056, 4056, 4058, 4058, 4069, 4072], 'operation': []}
 In workflow :86; Channel :4046 too many inputs/outputs :{'workflow': 86, 'process': [4045, 4048, 4048, 4050, 4050, 4056, 4058, 4069], 'operation': []}
 In workflow :86; Channel :4060 too many inputs/outputs :{'workflow': 86, 'process': ['input', 'input']}
 In workflow :86; Channel :4066 too many inputs/outputs :{'workflow': 86, 'process': ['output'], 'operation': ['output']}
 In workflow :89; Channel :4134 too many inputs/outputs :{'workflow': 89, 'process': [4133, 4136], 'operation': [539, 540]}
 In workflow :88; Channel :4122 too many inputs/outputs :{'workflow': 88, 'process': [4120], 'operation': [532, 533]}
 In workflow :88; Channel :4128 too many inputs/outputs :{'workflow': 88, 'operation': ['input', 'input']}
 In workflow :89; Channel :4195 too many inputs/outputs :{'workflow': 89, 'process': [], 'operation': [539, 541, 542]}
 In workflow :88; Channel :4118 too many inputs/outputs :{'workflow': 88, 'process': [4117], 'operation': [534, 535, 536]}
 In workflow :88; Channel :4129 too many inputs/outputs :{'workflow': 88, 'process': [], 'operation': [534, 535, 536]}
 In workflow :89; Channel :4138 too many inputs/outputs :{'workflow': 89, 'process': [4137, 4162, 4163, 4173], 'operation': []}
 In workflow :89; Channel :4139 too many inputs/outputs :{'workflow': 89, 'process': [4137, 4143, 4163, 4165], 'operation': []}
 In workflow :89; Channel :4140 too many inputs/outputs :{'workflow': 89, 'process': [4137, 4141, 4163, 4164], 'operation': []}
 In workflow :89; Channel :4142 too many inputs/outputs :{'workflow': 89, 'process': [4141, 4162, 4164, 4173], 'operation': []}
 In workflow :89; Channel :4144 too many inputs/outputs :{'workflow': 89, 'process': [4143, 4147, 4160, 4165, 4166, 4169, 4172, 4174, 4180], 'operation': []}
 In workflow :89; Channel :4145 too many inputs/outputs :{'workflow': 89, 'process': [4143, 4162, 4165, 4173], 'operation': []}
 In workflow :89; Channel :4146 too many inputs/outputs :{'workflow': 89, 'process': [4143, 4147, 4165, 4166], 'operation': []}
 In workflow :89; Channel :4148 too many inputs/outputs :{'workflow': 89, 'process': [4147, 4162, 4166, 4173], 'operation': []}
 In workflow :89; Channel :4149 too many inputs/outputs :{'workflow': 89, 'process': [4147, 4162, 4166, 4173], 'operation': []}
 In workflow :89; Channel :4150 too many inputs/outputs :{'workflow': 89, 'process': [4147, 4154, 4166, 4168], 'operation': []}
 In workflow :89; Channel :4151 too many inputs/outputs :{'workflow': 89, 'process': [4147, 4160, 4166, 4172], 'operation': []}
 In workflow :89; Channel :4155 too many inputs/outputs :{'workflow': 89, 'process': [4154, 4168, 4174], 'operation': []}
 In workflow :89; Channel :4158 too many inputs/outputs :{'workflow': 89, 'process': ['output', 'output']}
 In workflow :89; Channel :4159 too many inputs/outputs :{'workflow': 89, 'process': ['output', 'output']}
 In workflow :89; Channel :4161 too many inputs/outputs :{'workflow': 89, 'process': ['output', 'output']}
 In workflow :89; Channel :4135 too many inputs/outputs :{'workflow': 89, 'process': [4133, 4136, 4137, 4163], 'operation': [541, 542]}
 In workflow :89; Channel :4153 too many inputs/outputs :{'workflow': 89, 'process': [4147, 4166], 'operation': [545]}
 In workflow :89; Channel :4152 too many inputs/outputs :{'workflow': 89, 'process': [4147, 4166], 'operation': [546]}
 In workflow :89; Channel :4156 too many inputs/outputs :{'workflow': 89, 'process': [4154, 4168], 'operation': [547]}
 In workflow :89; Channel :4157 too many inputs/outputs :{'workflow': 89, 'process': [4154, 4168], 'operation': [549]}
 In workflow :90; Channel :4208 too many inputs/outputs :{'workflow': 90, 'process': [4206], 'operation': [551, 552]}
 In workflow :90; Channel :4215 too many inputs/outputs :{'workflow': 90, 'operation': ['input', 'input']}
 In workflow :90; Channel :4204 too many inputs/outputs :{'workflow': 90, 'process': [4203], 'operation': [553, 554, 555]}
 In workflow :90; Channel :4216 too many inputs/outputs :{'workflow': 90, 'process': [], 'operation': [553, 554, 555]}
 In workflow :93; Channel :4258 too many inputs/outputs :{'workflow': 93, 'process': ['input', 'input']}
 In workflow :93; Channel :4358 too many inputs/outputs :{'workflow': 93, 'operation': ['output', 'output']}
 In workflow :93; Channel :4270 too many inputs/outputs :{'workflow': 93, 'process': [4269], 'operation': [571, 577]}
 In workflow :93; Channel :4317 too many inputs/outputs :{'workflow': 93, 'process': [4315], 'operation': [609, 612]}
 In workflow :93; Channel :4410 too many inputs/outputs :{'workflow': 93, 'operation': ['output', 'output']}
 In workflow :93; Channel :4407 too many inputs/outputs :{'workflow': 93, 'process': [], 'operation': [609, 611, 613]}
 In workflow :93; Channel :4328 too many inputs/outputs :{'workflow': 93, 'process': [4327], 'operation': [611, 613]}
 In workflow :93; Channel :4332 too many inputs/outputs :{'workflow': 93, 'process': [4330], 'operation': [574, 618]}
 In workflow :93; Channel :4260 too many inputs/outputs :{'workflow': 93, 'process': [4257], 'operation': [622, 623]}
