Channel with too many inputs/outputs :
 In workflow :7; Channel :97 too many inputs/outputs :{'workflow': 7, 'process': ['input', 'input']}
 In workflow :71; Channel :2582 too many inputs/outputs :{'workflow': 71, 'operation': ['input', 'input']}
 In workflow :71; Channel :2520 too many inputs/outputs :{'workflow': 71, 'process': [2519], 'operation': [100127, 100128, 100130]}
 In workflow :229; Channel :8795 too many inputs/outputs :{'workflow': 229, 'process': ['input', 'input']}
 In workflow :71; Channel :2585 too many inputs/outputs :{'workflow': 71, 'operation': ['input', 'input']}
 In workflow :234; Channel :8915 too many inputs/outputs :{'workflow': 234, 'process': [8914, 8918, 8921], 'operation': []}
 In workflow :234; Channel :8916 too many inputs/outputs :{'workflow': 234, 'process': ['input', 'input']}
 In workflow :71; Channel :2586 too many inputs/outputs :{'workflow': 71, 'operation': ['input', 'input']}
 In workflow :71; Channel :2523 too many inputs/outputs :{'workflow': 71, 'process': [2522], 'operation': [100132, 100134, 100136, 100138, 100139, 100142, 100143]}
 In workflow :71; Channel :2524 too many inputs/outputs :{'workflow': 71, 'process': [2522], 'operation': [100132, 100134, 100135, 100138, 100140, 100142, 100143]}
 In workflow :71; Channel :2535 too many inputs/outputs :{'workflow': 71, 'process': [2534], 'operation': [100122, 100125, 100145]}
 In workflow :71; Channel :2546 too many inputs/outputs :{'workflow': 71, 'process': [2545], 'operation': [100122, 100125, 100145]}
 In workflow :71; Channel :2549 too many inputs/outputs :{'workflow': 71, 'process': [2548], 'operation': [100122, 100125, 100145]}
 In workflow :71; Channel :2553 too many inputs/outputs :{'workflow': 71, 'process': [2552], 'operation': [100122, 100125, 100145]}
 In workflow :71; Channel :2558 too many inputs/outputs :{'workflow': 71, 'process': [2557], 'operation': [100122, 100125, 100145]}
 In workflow :71; Channel :2563 too many inputs/outputs :{'workflow': 71, 'process': [2562], 'operation': [100122, 100125, 100145]}
 In workflow :71; Channel :2569 too many inputs/outputs :{'workflow': 71, 'process': [2568], 'operation': [100122, 100125, 100145]}
 In workflow :71; Channel :2570 too many inputs/outputs :{'workflow': 71, 'process': [2568], 'operation': [100126, 100129, 100130, 100146]}
 In workflow :71; Channel :2566 too many inputs/outputs :{'workflow': 71, 'process': [2565], 'operation': [100126, 100129, 100130, 100146]}
 In workflow :71; Channel :2528 too many inputs/outputs :{'workflow': 71, 'process': [2526, 2555], 'operation': [100131, 100137, 100142, 100143, 100147]}
 In workflow :71; Channel :2529 too many inputs/outputs :{'workflow': 71, 'process': [2526, 2557], 'operation': [100131, 100137, 100142, 100143, 100147]}
 In workflow :71; Channel :2530 too many inputs/outputs :{'workflow': 71, 'process': [2526, 2572], 'operation': [100131, 100134, 100137, 100142, 100143, 100147]}
 In workflow :242; Channel :9084 too many inputs/outputs :{'workflow': 242, 'process': [9082], 'operation': [100512, 100513]}
 In workflow :71; Channel :2531 too many inputs/outputs :{'workflow': 71, 'process': [2526, 2573], 'operation': [100131, 100137, 100142, 100143, 100147]}
 In workflow :71; Channel :2532 too many inputs/outputs :{'workflow': 71, 'process': [2526, 2576], 'operation': [100131, 100137, 100142, 100143, 100147]}
 In workflow :71; Channel :2533 too many inputs/outputs :{'workflow': 71, 'process': [2526, 2560], 'operation': [100131, 100137, 100142, 100143, 100147]}
 In workflow :71; Channel :2525 too many inputs/outputs :{'workflow': 71, 'process': [2522], 'operation': [100147, 100148]}
 In workflow :71; Channel :2527 too many inputs/outputs :{'workflow': 71, 'process': [2526], 'operation': [100132, 100133, 100141, 100142, 100148]}
 In workflow :73; Channel :2628 too many inputs/outputs :{'workflow': 73, 'operation': ['input', 'input']}
 In workflow :73; Channel :2610 too many inputs/outputs :{'workflow': 73, 'process': [2609], 'operation': [100153, 100154, 100155]}
 In workflow :73; Channel :2619 too many inputs/outputs :{'workflow': 73, 'process': [2618], 'operation': [100153, 100154, 100155]}
 In workflow :73; Channel :2614 too many inputs/outputs :{'workflow': 73, 'process': ['input'], 'operation': ['input']}
 In workflow :223; Channel :8506 too many inputs/outputs :{'workflow': 223, 'process': [8504, 8509, 8512], 'operation': [100480]}
 In workflow :223; Channel :8507 too many inputs/outputs :{'workflow': 223, 'process': [8504, 8509, 8512], 'operation': [100482]}
 In workflow :223; Channel :8518 too many inputs/outputs :{'workflow': 223, 'process': [], 'operation': [100484, 100485, 100486]}
 In workflow :223; Channel :8513 too many inputs/outputs :{'workflow': 223, 'process': [8512], 'operation': [100485, 100486]}
 In workflow :230; Channel :8819 too many inputs/outputs :{'workflow': 230, 'operation': ['input', 'input']}
 In workflow :230; Channel :8811 too many inputs/outputs :{'workflow': 230, 'process': [8810], 'operation': [100504, 100505, 100506]}
 In workflow :230; Channel :8820 too many inputs/outputs :{'workflow': 230, 'process': [], 'operation': [100504, 100505, 100506]}
 In workflow :230; Channel :8815 too many inputs/outputs :{'workflow': 230, 'process': ['input'], 'operation': ['input']}
 In workflow :239; Channel :9029 too many inputs/outputs :{'workflow': 239, 'process': ['input', 'input']}
 In workflow :239; Channel :9030 too many inputs/outputs :{'workflow': 239, 'process': ['input', 'input']}
 In workflow :79; Channel :2853 too many inputs/outputs :{'workflow': 79, 'process': [], 'operation': [100194, 100195, 100197]}
 In workflow :84; Channel :3062 too many inputs/outputs :{'workflow': 84, 'process': ['input', 'input']}
 In workflow :92; Channel :3287 too many inputs/outputs :{'workflow': 92, 'process': [3285, 3295, 3300], 'operation': []}
 In workflow :92; Channel :3286 too many inputs/outputs :{'workflow': 92, 'process': [3285, 3300], 'operation': [100212]}
 In workflow :97; Channel :3365 too many inputs/outputs :{'workflow': 97, 'process': [3364, 3369, 3372, 3377], 'operation': []}
 In workflow :101; Channel :3511 too many inputs/outputs :{'workflow': 101, 'process': [3510, 3515, 3536, 3555, 3558, 3579], 'operation': []}
 In workflow :101; Channel :3512 too many inputs/outputs :{'workflow': 101, 'process': [3510, 3553, 3579], 'operation': []}
 In workflow :101; Channel :3532 too many inputs/outputs :{'workflow': 101, 'process': ['input', 'input']}
 In workflow :101; Channel :3537 too many inputs/outputs :{'workflow': 101, 'process': [3536, 3538, 3539], 'operation': []}
 In workflow :101; Channel :3566 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3584], 'operation': []}
 In workflow :101; Channel :3567 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3629], 'operation': []}
 In workflow :101; Channel :3568 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3579], 'operation': []}
 In workflow :101; Channel :3569 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3581], 'operation': []}
 In workflow :101; Channel :3570 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3583], 'operation': []}
 In workflow :101; Channel :3571 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3601], 'operation': []}
 In workflow :101; Channel :3572 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3607], 'operation': []}
 In workflow :101; Channel :3573 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3625], 'operation': []}
 In workflow :101; Channel :3574 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3627], 'operation': []}
 In workflow :101; Channel :3575 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3600], 'operation': []}
 In workflow :101; Channel :3576 too many inputs/outputs :{'workflow': 101, 'process': [3565, 3578, 3608], 'operation': []}
 In workflow :101; Channel :3577 too many inputs/outputs :{'workflow': 101, 'process': ['output', 'output']}
 In workflow :101; Channel :3605 too many inputs/outputs :{'workflow': 101, 'process': [3601, 3608, 3619], 'operation': []}
 In workflow :101; Channel :3606 too many inputs/outputs :{'workflow': 101, 'process': [3601, 3608, 3621], 'operation': []}
 In workflow :101; Channel :3632 too many inputs/outputs :{'workflow': 101, 'operation': ['input', 'input']}
 In workflow :101; Channel :3634 too many inputs/outputs :{'workflow': 101, 'operation': ['input', 'input']}
 In workflow :103; Channel :3665 too many inputs/outputs :{'workflow': 103, 'process': ['input', 'input']}
 In workflow :101; Channel :3518 too many inputs/outputs :{'workflow': 101, 'process': [3517], 'operation': [100239, 100240, 100241]}
 In workflow :101; Channel :3614 too many inputs/outputs :{'workflow': 101, 'process': [3612, 3616], 'operation': [100242]}
 In workflow :101; Channel :3522 too many inputs/outputs :{'workflow': 101, 'process': [3521], 'operation': [100239, 100240, 100241, 100243]}
 In workflow :101; Channel :3523 too many inputs/outputs :{'workflow': 101, 'process': [3521, 3536, 3538], 'operation': [100243]}
 In workflow :101; Channel :3525 too many inputs/outputs :{'workflow': 101, 'process': [3521, 3531], 'operation': [100243]}
 In workflow :101; Channel :3526 too many inputs/outputs :{'workflow': 101, 'process': [3521, 3535], 'operation': [100243]}
 In workflow :101; Channel :3524 too many inputs/outputs :{'workflow': 101, 'process': [3521, 3563], 'operation': [100243, 100244]}
 In workflow :101; Channel :3564 too many inputs/outputs :{'workflow': 101, 'process': [3563, 3565, 3578], 'operation': [100244]}
 In workflow :102; Channel :3642 too many inputs/outputs :{'workflow': 102, 'process': [3641, 3653, 3656], 'operation': []}
 In workflow :102; Channel :3649 too many inputs/outputs :{'workflow': 102, 'process': ['output', 'output']}
 In workflow :102; Channel :3662 too many inputs/outputs :{'workflow': 102, 'operation': ['input', 'input']}
 In workflow :106; Channel :3822 too many inputs/outputs :{'workflow': 106, 'process': [3821], 'operation': [100251, 100255]}
 In workflow :106; Channel :3823 too many inputs/outputs :{'workflow': 106, 'process': [3821, 3824], 'operation': [100255]}
 In workflow :114; Channel :3986 too many inputs/outputs :{'workflow': 114, 'process': [3983, 4072, 4076, 4079, 4082, 4084, 4099, 4101, 4105, 4108, 4110, 4115], 'operation': []}
 In workflow :114; Channel :3988 too many inputs/outputs :{'workflow': 114, 'process': [3987, 3995, 3999, 4018, 4052, 4060, 4072, 4082, 4089, 4095, 4101, 4105, 4108, 4115], 'operation': []}
 In workflow :114; Channel :3989 too many inputs/outputs :{'workflow': 114, 'process': [3987, 4041, 4047, 4095], 'operation': []}
 In workflow :114; Channel :3991 too many inputs/outputs :{'workflow': 114, 'process': [3990, 3993, 3995, 3997, 3999, 4056, 4064, 4089, 4095, 4108, 4115], 'operation': []}
 In workflow :114; Channel :3992 too many inputs/outputs :{'workflow': 114, 'process': [3990, 4064, 4095], 'operation': []}
 In workflow :114; Channel :4073 too many inputs/outputs :{'workflow': 114, 'process': [4072, 4076, 4079, 4101], 'operation': []}
 In workflow :114; Channel :4119 too many inputs/outputs :{'workflow': 114, 'operation': ['input', 'input']}
 In workflow :114; Channel :4122 too many inputs/outputs :{'workflow': 114, 'process': [], 'operation': [100261, 100262, 100263]}
 In workflow :114; Channel :3994 too many inputs/outputs :{'workflow': 114, 'process': [3993, 4018], 'operation': [100264]}
 In workflow :114; Channel :3996 too many inputs/outputs :{'workflow': 114, 'process': [3995, 4021], 'operation': [100265]}
 In workflow :114; Channel :3998 too many inputs/outputs :{'workflow': 114, 'process': [3997, 4024], 'operation': [100266]}
 In workflow :114; Channel :4000 too many inputs/outputs :{'workflow': 114, 'process': [3999, 4027], 'operation': [100267]}
 In workflow :114; Channel :4087 too many inputs/outputs :{'workflow': 114, 'process': [4084, 4108, 4115], 'operation': [100271]}
 In workflow :114; Channel :4088 too many inputs/outputs :{'workflow': 114, 'process': [4084, 4101, 4105, 4108, 4115], 'operation': [100271]}
 In workflow :114; Channel :4128 too many inputs/outputs :{'workflow': 114, 'process': [], 'operation': [100268, 100269, 100270, 100271, 100272]}
 In workflow :114; Channel :4121 too many inputs/outputs :{'workflow': 114, 'process': [], 'operation': [100258, 100259, 100260, 100273]}
 In workflow :114; Channel :4005 too many inputs/outputs :{'workflow': 114, 'process': [4004], 'operation': [100261, 100262, 100263, 100274]}
 In workflow :114; Channel :4123 too many inputs/outputs :{'workflow': 114, 'process': [], 'operation': [100261, 100262, 100263, 100268, 100275]}
 In workflow :114; Channel :4007 too many inputs/outputs :{'workflow': 114, 'process': [4004], 'operation': [100277, 100278]}
 In workflow :114; Channel :4013 too many inputs/outputs :{'workflow': 114, 'process': [4011, 4018], 'operation': [100278]}
 In workflow :114; Channel :4014 too many inputs/outputs :{'workflow': 114, 'process': [4011, 4021], 'operation': [100278]}
 In workflow :114; Channel :4015 too many inputs/outputs :{'workflow': 114, 'process': [4011, 4024], 'operation': [100278]}
 In workflow :114; Channel :4016 too many inputs/outputs :{'workflow': 114, 'process': [4011, 4027], 'operation': [100278]}
 In workflow :115; Channel :4148 too many inputs/outputs :{'workflow': 115, 'operation': ['input', 'input']}
 In workflow :115; Channel :4140 too many inputs/outputs :{'workflow': 115, 'process': [4139], 'operation': [100282, 100283, 100284]}
 In workflow :115; Channel :4149 too many inputs/outputs :{'workflow': 115, 'process': [], 'operation': [100282, 100283, 100284]}
 In workflow :115; Channel :4144 too many inputs/outputs :{'workflow': 115, 'process': ['input'], 'operation': ['input']}
 In workflow :119; Channel :4229 too many inputs/outputs :{'workflow': 119, 'process': [4228], 'operation': [100290, 100295]}
 In workflow :119; Channel :4235 too many inputs/outputs :{'workflow': 119, 'process': [4233], 'operation': [100291, 100295]}
 In workflow :119; Channel :4241 too many inputs/outputs :{'workflow': 119, 'process': [4240], 'operation': [100292, 100295]}
 In workflow :119; Channel :4234 too many inputs/outputs :{'workflow': 119, 'process': [4233], 'operation': [100293, 100296]}
 In workflow :119; Channel :4238 too many inputs/outputs :{'workflow': 119, 'process': [4237], 'operation': [100294, 100296]}
 In workflow :122; Channel :4301 too many inputs/outputs :{'workflow': 122, 'process': [], 'operation': [100298, 100299, 100301]}
 In workflow :225; Channel :8633 too many inputs/outputs :{'workflow': 225, 'process': ['input', 'input']}
 In workflow :225; Channel :8637 too many inputs/outputs :{'workflow': 225, 'process': [8632, 8641, 8643], 'operation': []}
 In workflow :123; Channel :4313 too many inputs/outputs :{'workflow': 123, 'process': [4311, 4320, 4332, 4340, 4342, 4344, 4352], 'operation': []}
 In workflow :225; Channel :8638 too many inputs/outputs :{'workflow': 225, 'process': [8632, 8641, 8680], 'operation': []}
 In workflow :123; Channel :4388 too many inputs/outputs :{'workflow': 123, 'process': [4386], 'operation': [100309, 100310]}
 In workflow :225; Channel :8676 too many inputs/outputs :{'workflow': 225, 'process': ['input', 'input']}
 In workflow :225; Channel :8684 too many inputs/outputs :{'workflow': 225, 'process': [], 'operation': [100488, 100489, 100490]}
 In workflow :225; Channel :8685 too many inputs/outputs :{'workflow': 225, 'operation': ['output', 'output']}
 In workflow :125; Channel :4436 too many inputs/outputs :{'workflow': 125, 'process': [4435, 4447, 4450], 'operation': []}
 In workflow :125; Channel :4443 too many inputs/outputs :{'workflow': 125, 'process': ['output', 'output']}
 In workflow :125; Channel :4456 too many inputs/outputs :{'workflow': 125, 'operation': ['input', 'input']}
 In workflow :129; Channel :4502 too many inputs/outputs :{'workflow': 129, 'process': [4500], 'operation': [100346, 100347]}
 In workflow :129; Channel :4509 too many inputs/outputs :{'workflow': 129, 'operation': ['input', 'input']}
 In workflow :129; Channel :4498 too many inputs/outputs :{'workflow': 129, 'process': [4497], 'operation': [100348, 100349, 100350]}
 In workflow :129; Channel :4510 too many inputs/outputs :{'workflow': 129, 'process': [], 'operation': [100348, 100349, 100350]}
 In workflow :134; Channel :4954 too many inputs/outputs :{'workflow': 134, 'process': [4952], 'operation': [100353, 100354]}
 In workflow :134; Channel :4961 too many inputs/outputs :{'workflow': 134, 'operation': ['input', 'input']}
 In workflow :134; Channel :4950 too many inputs/outputs :{'workflow': 134, 'process': [4949], 'operation': [100355, 100356, 100357]}
 In workflow :134; Channel :4962 too many inputs/outputs :{'workflow': 134, 'process': [], 'operation': [100355, 100356, 100357]}
 In workflow :139; Channel :5046 too many inputs/outputs :{'workflow': 139, 'process': [5044], 'operation': [100362, 100363]}
 In workflow :139; Channel :5053 too many inputs/outputs :{'workflow': 139, 'operation': ['input', 'input']}
 In workflow :139; Channel :5042 too many inputs/outputs :{'workflow': 139, 'process': [5041], 'operation': [100364, 100365, 100366]}
 In workflow :139; Channel :5054 too many inputs/outputs :{'workflow': 139, 'process': [], 'operation': [100364, 100365, 100366]}
 In workflow :140; Channel :5079 too many inputs/outputs :{'workflow': 140, 'process': [5078, 5080, 5082, 5084, 5091], 'operation': []}
 In workflow :140; Channel :5089 too many inputs/outputs :{'workflow': 140, 'process': ['output', 'output']}
 In workflow :142; Channel :5291 too many inputs/outputs :{'workflow': 142, 'process': [5290, 5293, 5302, 5307, 5311], 'operation': []}
 In workflow :142; Channel :5292 too many inputs/outputs :{'workflow': 142, 'process': [5290, 5302, 5307], 'operation': []}
 In workflow :142; Channel :5300 too many inputs/outputs :{'workflow': 142, 'process': [5299, 5302, 5307, 5311], 'operation': []}
 In workflow :142; Channel :5301 too many inputs/outputs :{'workflow': 142, 'process': [5299, 5302, 5307], 'operation': []}
 In workflow :142; Channel :5303 too many inputs/outputs :{'workflow': 142, 'process': [5302, 5307, 5311], 'operation': []}
 In workflow :225; Channel :8629 too many inputs/outputs :{'workflow': 225, 'process': [8628], 'operation': [100488, 100491, 100492]}
 In workflow :225; Channel :8634 too many inputs/outputs :{'workflow': 225, 'process': [8632], 'operation': [100489, 100491, 100492]}
 In workflow :225; Channel :8624 too many inputs/outputs :{'workflow': 225, 'process': [8623], 'operation': [100493, 100494]}
 In workflow :231; Channel :8833 too many inputs/outputs :{'workflow': 231, 'operation': ['input', 'input']}
 In workflow :231; Channel :8825 too many inputs/outputs :{'workflow': 231, 'process': [8824], 'operation': [100508, 100509, 100510]}
 In workflow :231; Channel :8834 too many inputs/outputs :{'workflow': 231, 'process': [], 'operation': [100508, 100509, 100510]}
 In workflow :231; Channel :8829 too many inputs/outputs :{'workflow': 231, 'process': ['input'], 'operation': ['input']}
 In workflow :151; Channel :5832 too many inputs/outputs :{'workflow': 151, 'process': [5831], 'operation': [100391, 100392]}
 In workflow :151; Channel :5835 too many inputs/outputs :{'workflow': 151, 'process': [5834], 'operation': [100391, 100392]}
 In workflow :151; Channel :5863 too many inputs/outputs :{'workflow': 151, 'process': [5862], 'operation': [100391, 100392]}
 In workflow :151; Channel :5859 too many inputs/outputs :{'workflow': 151, 'process': [5858], 'operation': [100391, 100392]}
 In workflow :151; Channel :5826 too many inputs/outputs :{'workflow': 151, 'process': [5823, 5834], 'operation': [100395]}
 In workflow :151; Channel :5830 too many inputs/outputs :{'workflow': 151, 'process': [5827, 5848], 'operation': [100396]}
 In workflow :151; Channel :5851 too many inputs/outputs :{'workflow': 151, 'process': [5848, 5856], 'operation': [100398]}
 In workflow :151; Channel :5843 too many inputs/outputs :{'workflow': 151, 'process': [5839, 5856], 'operation': [100397]}
 In workflow :151; Channel :5877 too many inputs/outputs :{'workflow': 151, 'process': [], 'operation': [100397, 100398, 100399]}
 In workflow :151; Channel :5838 too many inputs/outputs :{'workflow': 151, 'process': [5834, 5856], 'operation': [100399]}
 In workflow :152; Channel :5902 too many inputs/outputs :{'workflow': 152, 'operation': ['input', 'input']}
 In workflow :154; Channel :5915 too many inputs/outputs :{'workflow': 154, 'process': [5914, 5917], 'operation': [100404]}
 In workflow :160; Channel :6181 too many inputs/outputs :{'workflow': 160, 'process': ['input', 'input']}
 In workflow :160; Channel :6184 too many inputs/outputs :{'workflow': 160, 'process': [6180, 6187, 6196, 6198, 6199, 6201], 'operation': []}
 In workflow :160; Channel :6188 too many inputs/outputs :{'workflow': 160, 'process': [6187, 6198, 6201, 6202], 'operation': []}
 In workflow :160; Channel :6182 too many inputs/outputs :{'workflow': 160, 'process': [6180, 6192, 6199], 'operation': [100406]}
 In workflow :160; Channel :6183 too many inputs/outputs :{'workflow': 160, 'process': [6180, 6189, 6199], 'operation': [100407]}
 In workflow :164; Channel :6280 too many inputs/outputs :{'workflow': 164, 'process': [6278], 'operation': [100415, 100416]}
 In workflow :167; Channel :6493 too many inputs/outputs :{'workflow': 167, 'process': [6491, 6498, 6508, 6522, 6529], 'operation': []}
 In workflow :167; Channel :6496 too many inputs/outputs :{'workflow': 167, 'process': [6494, 6503, 6507], 'operation': []}
 In workflow :167; Channel :6501 too many inputs/outputs :{'workflow': 167, 'process': [6500, 6503, 6506, 6507], 'operation': []}
 In workflow :167; Channel :6502 too many inputs/outputs :{'workflow': 167, 'process': [6500, 6503, 6506, 6507], 'operation': []}
 In workflow :167; Channel :6504 too many inputs/outputs :{'workflow': 167, 'process': [6503, 6507, 6508, 6510], 'operation': []}
 In workflow :167; Channel :6505 too many inputs/outputs :{'workflow': 167, 'process': ['output', 'output']}
 In workflow :167; Channel :6537 too many inputs/outputs :{'workflow': 167, 'operation': ['input', 'input']}
 In workflow :169; Channel :6568 too many inputs/outputs :{'workflow': 169, 'process': [6567, 6574, 6576], 'operation': []}
 In workflow :169; Channel :6571 too many inputs/outputs :{'workflow': 169, 'process': ['input', 'input']}
 In workflow :169; Channel :6565 too many inputs/outputs :{'workflow': 169, 'process': [6564, 6570, 6576, 6579], 'operation': [100431]}
 In workflow :173; Channel :6697 too many inputs/outputs :{'workflow': 173, 'process': [6695, 6699, 6700], 'operation': []}
 In workflow :173; Channel :6698 too many inputs/outputs :{'workflow': 173, 'process': [6695, 6699, 6711], 'operation': []}
 In workflow :173; Channel :6696 too many inputs/outputs :{'workflow': 173, 'process': [6695, 6699], 'operation': [100434]}
 In workflow :181; Channel :6905 too many inputs/outputs :{'workflow': 181, 'process': [6904, 6915, 6926, 6943], 'operation': []}
 In workflow :181; Channel :6908 too many inputs/outputs :{'workflow': 181, 'process': [6904, 6915], 'operation': [100443]}
 In workflow :181; Channel :6919 too many inputs/outputs :{'workflow': 181, 'process': [6915, 6926], 'operation': [100443]}
 In workflow :181; Channel :6922 too many inputs/outputs :{'workflow': 181, 'process': [6915, 6926], 'operation': [100444]}
 In workflow :181; Channel :6920 too many inputs/outputs :{'workflow': 181, 'process': [6915, 6943], 'operation': [100445]}
